comp_df,comp_nova,pres_df,pres_nova,acc_df,acc_nova,uncer,concor,fusion,DQIndex
0.93333,0.93333,0.71382,0.57482,0.00000,0.00000,0.81359,0.65374,49.03540,0.46623
0.98333,0.98333,0.84765,0.59126,0.00000,0.00000,0.78427,0.34656,49.11673,0.41904
0.98333,0.98333,0.85744,0.75954,0.00000,0.00000,0.90055,0.55616,38.94905,0.48549
0.96667,0.96667,0.79855,0.79017,0.00000,0.00000,0.97473,0.96670,35.76235,0.56780
0.90000,0.90000,0.65592,0.65838,0.00000,0.00000,0.97537,0.98490,31.48430,0.54953
0.98333,0.98333,0.84234,0.84953,0.00000,0.00000,0.97375,0.95609,35.18072,0.57253
1.00000,1.00000,0.92240,0.69293,0.00000,0.00000,0.88813,0.50257,41.74205,0.47664
1.00000,1.00000,0.92547,0.46649,0.00000,0.00000,0.79809,0.14976,46.67732,0.38963
0.96667,0.96667,0.80324,0.60037,0.00000,0.00000,0.88740,0.57928,45.32215,0.47762
0.85000,0.85000,0.56598,0.56186,0.10396,0.63006,0.88193,0.97494,31.14276,0.66239
